,Unnamed: 0,rating
0,0,4.39
1,1,4.04
2,2,4.07
3,3,3.99
4,4,4.18
5,5,4.08
6,6,4.2
7,7,4.18
8,8,4.03
9,9,4.03
10,10,4.26
11,11,4.37
12,12,4.36
13,13,4.22
14,14,4.06
15,15,3.86
16,16,4.16
17,17,4.2
18,18,4.02
19,19,4.09
20,20,4.44
21,21,4.09
22,22,4.03
23,23,3.96
24,24,4.09
25,25,3.83
26,26,4.13
27,27,4.16
28,28,3.98
29,29,3.74
30,30,4.22
31,31,3.92
32,32,4.4
33,33,4.27
34,34,4.0
35,35,4.16
36,36,4.13
37,37,4.14
38,38,4.16
39,39,3.88
40,40,3.98
41,41,3.96
42,42,4.19
43,43,3.97
44,44,4.4
45,45,3.81
46,46,4.36
47,47,4.36
48,48,3.94
49,49,4.36
50,50,4.03
51,51,3.88
52,52,4.54
53,53,3.99
54,54,4.01
55,55,3.96
56,56,3.98
57,57,3.92
58,58,4.44
59,59,4.2
60,60,3.85
61,61,4.21
62,62,4.37
63,63,3.71
64,64,4.31
65,65,4.08
66,66,4.31
67,67,3.83
68,68,4.54
69,69,4.14
70,70,4.1
71,71,4.19
72,72,4.34
73,73,3.86
74,74,4.21
75,75,4.37
76,76,3.86
77,77,4.11
78,78,4.36
79,79,4.12
80,80,3.84
81,81,4.08
82,82,3.75
83,83,4.12
84,84,4.09
85,85,4.39
86,86,4.35
87,87,4.09
88,88,4.55
89,89,4.2
90,90,3.89
91,91,4.2
92,92,4.04
93,93,4.02
94,94,4.45
95,95,4.38
96,96,4.4
97,97,4.12
98,98,3.89
99,99,3.94
100,100,4.2
101,101,4.03
102,102,4.04
103,103,4.06
104,104,3.84
105,105,3.55
106,106,3.83
107,107,3.95
108,108,3.64
109,109,4.46
110,110,3.83
111,111,3.57
112,112,4.08
113,113,3.79
114,114,3.81
115,115,3.73
116,116,4.0
117,117,4.09
118,118,3.93
119,119,3.94
120,120,3.77
121,121,4.06
122,122,3.84
123,123,3.97
124,124,3.79
125,125,4.05
126,126,4.34
127,127,3.94
128,128,3.62
129,129,4.06
130,130,3.99
131,131,3.63
132,132,3.74
133,133,3.91
134,134,4.15
135,135,3.6
136,136,3.31
137,137,3.96
138,138,3.95
139,139,3.9
140,140,4.13
141,141,3.73
142,142,3.9
143,143,4.09
144,144,3.9
145,145,3.49
146,146,3.89
147,147,3.89
148,148,3.58
149,149,4.14
150,150,4.03
151,151,3.84
152,152,3.85
153,153,3.73
154,154,3.8
155,155,3.64
156,156,3.6
157,157,3.73
158,158,4.18
159,159,3.88
160,160,4.01
161,161,4.01
162,162,4.22
163,163,2.78
164,164,4.01
165,165,3.66
166,166,4.28
167,167,3.93
168,168,3.98
169,169,3.91
170,170,3.71
171,171,3.53
172,172,4.18
173,173,4.11
174,174,3.7
175,175,3.99
176,176,3.81
177,177,4.05
178,178,3.31
179,179,3.79
180,180,3.92
181,181,4.38
182,182,3.81
183,183,3.47
184,184,3.63
185,185,4.02
186,186,4.44
187,187,4.24
188,188,3.99
189,189,4.11
190,190,4.03
191,191,3.8
